"","species","severity","domain","log_estimate","sig_negative","sig_positive","ns","nodata","noconv","mean_serialcor","mean_cv","mean_synchrony","ctl_n","imp_n","ctl_n_years","imp_n_years","taxa_name","taxa_group","measurement"
"41",17,0,"quart",-0.238602267,0.083,0.023,0.823,0,0.071,0.373508183760703,0.92132181951685,0.246806249655848,14.312,4.512,15.544576422597,15.6446333333333,"Cystoseira","algae","pc"
"42",17,0.8,"quart",-1.641461616,0.323,0,0.575,0,0.102,0.372681294601879,0.921274134793171,0.249018577475721,14.365,4.486,15.5426324153787,15.66145,"Cystoseira","algae","pc"
"43",18,-4,"quart",1.34974315273133,0,0.596,0.301,0,0.103,0.163936921921012,0.678307243941221,0.377337165385391,14.558,5.231,15.4928383511097,15.5697166666667,"Corynactis","sessile invert","pc"
"44",18,0,"quart",-0.0488858202,0.042,0.038,0.92,0,0,0.168058138338198,0.679499849215225,0.375953872812442,14.639,5.196,15.5396153630683,15.5943333333333,"Corynactis","sessile invert","pc"
"45",18,0.8,"quart",-1.481414281,0.779,0,0.221,0,0,0.170620384671224,0.681491865007281,0.376658016078088,14.59,5.192,15.4926178679164,15.54715,"Corynactis","sessile invert","pc"
"46",19,-4,"quart",1.05513235244898,0,0.737,0.238,0,0.025,0.195714938006737,0.687006084592364,0.22814272441441,17.096,5.372,15.4713482843137,15.6074,"Balanophyllia","sessile invert","pc"
"47",19,0,"quart",-0.3562091858,0.101,0.04,0.812,0,0.047,0.196409585243997,0.6884098967617,0.233336600077873,17.041,5.38,15.4919580065359,15.60075,"Balanophyllia","sessile invert","pc"
"48",19,0.8,"quart",-2.02073399,0.847,0,0.079,0,0.074,0.200323239247136,0.687931467172616,0.240055118415582,17.09,5.358,15.5177080882353,15.6321666666667,"Balanophyllia","sessile invert","pc"
"49",20,-4,"quart",1.39994257582185,0,0.928,0.015,0,0.057,0.109759842410028,0.521269710391828,0.178887866107982,15.599,5.171,15.6898358776844,15.70455,"Astrangia","sessile invert","pc"
"50",20,0,"quart",-0.2038512097,0.131,0.05,0.819,0,0,0.109151947537109,0.520735610772899,0.180039540292678,15.533,5.232,15.7280318627451,15.7410166666667,"Astrangia","sessile invert","pc"
"51",20,0.8,"quart",-1.73890608,0.942,0,0.058,0,0,0.109165312470237,0.522207331401665,0.174103271055447,15.555,5.192,15.6894537815126,15.6942666666667,"Astrangia","sessile invert","pc"
"52",21,-4,"quart",1.57455033796407,0,0.562,0.272,0,0.166,0.121849490469997,0.424560528335717,0.240275182425698,14.781,5.184,15.6484048534799,15.7063833333333,"Diopatra","sessile invert","pc"
"53",21,0,"quart",-0.000518192500000003,0.054,0.057,0.879,0,0.01,0.121623914498274,0.42710230310283,0.234378953253417,14.737,5.155,15.6758477240896,15.6989333333333,"Diopatra","sessile invert","pc"
"54",21,0.8,"quart",-1.5244463216,0.614,0,0.37,0,0.016,0.123499576611109,0.423713251156033,0.243287824418388,14.841,5.157,15.6843804630827,15.7375833333333,"Diopatra","sessile invert","pc"
"55",22,-4,"quart",1.19445494091416,0.001,0.159,0.584,0,0.256,0.13907749621106,1.65460819404115,0.178752493061409,11.161,3.723,15.5664077478077,15.5414833333333,"Phragmatopoma","sessile invert","pc"
"56",22,0,"quart",-0.1454927827,0.003,0.012,0.755,0,0.23,0.135463052492847,1.65681250164345,0.177696957718987,11.218,3.709,15.5587709013209,15.5480333333333,"Phragmatopoma","sessile invert","pc"
"57",22,0.8,"quart",-1.828460086,0.075,0.009,0.713,0,0.203,0.138287556956345,1.65742224632992,0.17934075850455,11.104,3.748,15.5752626609502,15.5670166666667,"Phragmatopoma","sessile invert","pc"
"58",23,-4,"quart",0.074843315,0.012,0.484,0.412,0,0.092,0.369569048821627,1.09327504103117,0.617025385762549,14.722,4.631,15.7353544117647,15.7765166666667,"Serpulorbis","sessile invert","pc"
"59",23,0,"quart",-1.5234525238,0.028,0.017,0.766,0,0.189,0.379046856179245,1.06850991663542,0.615076361665934,14.843,4.662,15.7335177413273,15.7815666666667,"Serpulorbis","sessile invert","pc"
"60",23,0.8,"quart",-6.09315985,0.477,0,0.338,0,0.185,0.376672267817588,1.07181383084762,0.611967943900721,14.823,4.66,15.7446716682827,15.7649666666667,"Serpulorbis","sessile invert","pc"
"61",24,-4,"quart",-1.81518734503817,0.001,0.016,0.096,0.854,0.033,0.345344776576968,0.928773891276518,0.685078351058033,5.153,0.506,15.8706621004566,15.6127853881279,"Pachythyone","mobile Invert","pc"
"62",24,0,"quart",-2.69332261111111,0.002,0,0.117,0.856,0.025,0.350423836504891,0.925066759893968,0.67232087085609,5.107,0.506,15.8736111111111,15.6417824074074,"Pachythyone","mobile Invert","pc"
"63",24,0.8,"quart",-9.10008700854701,0.012,0,0.072,0.883,0.033,0.339485023306036,0.987321978393969,0.689921257803379,5.266,0.375,15.8535612535613,15.5150997150997,"Pachythyone","mobile Invert","pc"
"64",25,-4,"quart",0.820791001,0.006,0.386,0.596,0,0.012,-0.0297740115800514,1.03944104666901,0.118656002569992,16.026,4.974,15.027010375817,15.056,"Blacksmith","fish","count"
"65",25,0,"quart",-0.529759026,0.084,0.021,0.825,0,0.07,-0.030851172163368,1.0395786987687,0.12078206101442,16.056,4.944,15.0043093137255,15.0516833333333,"Blacksmith","fish","count"
"66",25,0.8,"quart",-1.993386131,0.576,0,0.398,0,0.026,-0.0284669788155566,1.04166298008543,0.117950282020463,16.024,4.976,15.083216748366,15.1305833333333,"Blacksmith","fish","count"
"67",26,-4,"quart",-2.31362546212121,0.006,0.009,0.107,0.868,0.01,0.106251789899393,1.06584166413893,0.444437211584641,6.184,0.506,14.7608585858586,14.6251262626263,"Blackeye Goby","fish","count"
"68",26,0,"quart",-2.88901999367089,0.007,0.002,0.142,0.842,0.007,0.0889564754165966,1.01662988364587,0.449340128648618,6.083,0.613,14.7934599156118,14.475,"Blackeye Goby","fish","count"
"69",26,0.8,"quart",-4.96838281690141,0.042,0,0.088,0.858,0.012,0.085057168014289,1.00457856703376,0.461118726531007,6.139,0.563,14.831455399061,14.5323943661972,"Blackeye Goby","fish","count"
"70",27,-4,"quart",1.229242101,0.003,0.699,0.297,0,0.001,0.00748841355075442,1.10916612955695,0.226046184947225,14.66,5.068,14.92580190961,14.9694,"Black Surfperch","fish","count"
"71",27,0,"quart",-0.1044419452,0.01,0.016,0.974,0,0,0.00834151820921031,1.10986633406658,0.226730263852141,14.526,5.135,14.971618872549,14.9900166666667,"Black Surfperch","fish","count"
"72",27,0.8,"quart",-1.812136972,0.756,0,0.233,0,0.011,0.00542848129136485,1.11350951684279,0.226286395666256,14.597,5.094,14.9701839447317,15.0188166666667,"Black Surfperch","fish","count"
"73",28,-4,"quart",-0.258168599724897,0,0.27,0.421,0.273,0.036,0.0058889459383963,0.985581245448472,0.277290125766385,8.024,2.936,14.806885617821,14.7220541036222,"Striped Surfperch","fish","count"
"74",28,0,"quart",-1.42768438421808,0.003,0.037,0.589,0.303,0.068,0.00953368492259045,0.975874941031576,0.277120389081338,8.055,2.906,14.8383655679567,14.7658775705404,"Striped Surfperch","fish","count"
"75",28,0.8,"quart",-3.77494877980365,0.305,0,0.365,0.287,0.043,0.00806341165100434,0.973334350278486,0.276207300093824,7.967,2.964,14.8397776097986,14.8208742402992,"Striped Surfperch","fish","count"
"76",29,-4,"quart",-3.41772295740149,0.014,0.287,0.601,0.061,0.037,-0.013769726931796,1.21854891427236,0.136375433634302,11.364,2.679,15.0271307351978,15.0126020589279,"Opaleye","fish","count"
"77",29,0,"quart",-4.5770955783423,0.05,0.014,0.861,0.071,0.004,-0.0125597865547445,1.22692009372178,0.13663690273451,11.32,2.732,15.0395304880504,15.0462325080732,"Opaleye","fish","count"
"78",29,0.8,"quart",-11.961981064693,0.435,0,0.465,0.088,0.012,-0.0143325327741501,1.22725018234877,0.134657403618805,11.362,2.659,15.0439861977691,15.0240679824561,"Opaleye","fish","count"
"79",30,-4,"quart",-2.39332283959044,0,0.02,0.206,0.414,0.36,-0.0846960818912377,1.64797700686194,0.43344291967339,8.411,1.939,13.2487584828617,12.7957871396896,"Rock wrasse","fish","count"
"80",30,0,"quart",-4.46209703846154,0.008,0.005,0.19,0.428,0.369,-0.0754044633687714,1.66780949702682,0.400129733340682,8.543,1.882,13.2299723314402,12.8562315634218,"Rock wrasse","fish","count"
"81",30,0.8,"quart",-Inf,0.044,0,0.103,0.417,0.436,-0.0848271216307279,1.65699539429015,0.402709339486529,8.552,1.93,12.9899725622844,12.8519736842105,"Rock wrasse","fish","count"
"82",31,-4,"quart",1.561712633,0,0.789,0.194,0,0.017,0.0291130619024042,0.696853592969442,0.101866281831225,12.477,3.076,14.9595070818071,15.0520166666667,"Garibaldi","fish","count"
"83",31,0,"quart",0.0223694574,0.032,0.012,0.937,0,0.019,0.0277848689174401,0.692733412585829,0.101616524746003,12.574,3.005,14.9951563658564,15.0587166666667,"Garibaldi","fish","count"
"84",31,0.8,"quart",-7.775005259,0.619,0,0.346,0,0.035,0.0290482389686295,0.692608932866936,0.102115414624848,12.465,3.078,14.9714995448995,15.0097833333333,"Garibaldi","fish","count"
"85",32,-4,"quart",NA,0,0,0,1,0,NA,NA,NA,0,0,NA,NA,"Blue-banded_Goby","fish","count"
"86",32,0,"quart",NA,0,0,0,1,0,NA,NA,NA,0,0,NA,NA,"Blue-banded_Goby","fish","count"
"87",32,0.8,"quart",NA,0,0,0,1,0,NA,NA,NA,0,0,NA,NA,"Blue-banded_Goby","fish","count"
"88",33,-4,"quart",1.119755357,0.007,0.359,0.634,0,0,0.0695830001590099,1.44578844112609,0.2619361909079,17.372,5.501,14.821545751634,14.96555,"Senorita","fish","count"
"89",33,0,"quart",-0.1233419578,0.032,0.067,0.901,0,0,0.0693666577043591,1.44591501808128,0.261098995370226,17.399,5.469,14.7751801470588,14.9253666666667,"Senorita","fish","count"
"90",33,0.8,"quart",-1.6496999193,0.467,0,0.533,0,0,0.0701807603871577,1.43833496662058,0.263708835046811,17.384,5.474,14.8645016339869,15.0149166666667,"Senorita","fish","count"
"91",34,-4,"quart",0.847856726,0.001,0.657,0.292,0,0.05,0.0155946107408004,1.26155120416109,0.0916072182224687,15.049,4.323,14.9670852887309,15.04345,"Kelp Bass","fish","count"
"92",34,0,"quart",-0.5532406816,0.064,0.023,0.836,0,0.077,0.0139711563185604,1.25034470991474,0.0890656380794291,15.002,4.38,14.9846215847878,14.9921833333333,"Kelp Bass","fish","count"
"93",34,0.8,"quart",-Inf,0.579,0,0.337,0,0.084,0.0169352850228528,1.25014656286579,0.0887873799587709,15.049,4.361,14.9967991973713,15.00955,"Kelp Bass","fish","count"
"94",35,-4,"quart",-0.677652842105263,0,0.442,0.51,0.031,0.017,-0.0316137416781808,1.24434865909258,0.200489235403288,11.485,4.025,14.9834459142509,14.9907292741658,"Pile Perch","fish","count"
"95",35,0,"quart",-1.95863504886831,0.084,0.014,0.839,0.028,0.035,-0.029103354551377,1.23662886377292,0.201676779224739,11.431,4.062,15.00507089504,15.0270919067215,"Pile Perch","fish","count"
"96",35,0.8,"quart",-6.25612096303901,0.654,0,0.31,0.026,0.01,-0.0275992185126189,1.23679342134503,0.198975413643513,11.385,4.101,15.0486876402174,15.0589664613279,"Pile Perch","fish","count"
"97",36,-4,"quart",0.996351222,0.005,0.628,0.365,0,0.002,0.051589873105289,0.997328821391966,0.29266166220693,13.314,4.662,14.9423005193336,15.0046,"Kelp Rockfish","fish","count"
"98",36,0,"quart",-0.36758447931,0.012,0.045,0.941,0,0.002,0.0516701359621794,0.990185623932134,0.284727087379197,13.321,4.695,14.9410653055278,15.0267333333333,"Kelp Rockfish","fish","count"
"99",36,0.8,"quart",-6.792371133,0.504,0,0.488,0,0.008,0.0529899011335095,0.998458170466406,0.287912039983026,13.4,4.6,14.9442861462067,15.0359666666667,"Kelp Rockfish","fish","count"
"100",37,-4,"quart",1.30715399236641,0.008,0.172,0.413,0.345,0.062,0.0857207725299316,1.37649022820436,0.305743011488404,7.014,2.622,14.9847413061917,15.1847837150127,"Blue Rockfish","fish","count"
"101",37,0,"quart",0.36768949443609,0.029,0.052,0.514,0.335,0.07,0.0778984790268533,1.37093634593034,0.302859670328365,6.944,2.613,15.0497923379878,15.1587719298246,"Blue Rockfish","fish","count"
"102",37,0.8,"quart",-1.94493441787879,0.265,0.006,0.331,0.34,0.058,0.0825829257341442,1.36989162756201,0.304831963987472,6.913,2.591,15.0676707551708,15.1070454545455,"Blue Rockfish","fish","count"
"103",38,-4,"quart",-4.47567847792208,0.007,0.11,0.628,0.23,0.025,0.0302794144412523,1.45683594778141,0.295847220235208,8.535,2.579,15.072906664043,15.2085714285714,"Olive Rockfish","fish","count"
"104",38,0,"quart",-4.22057320338542,0.048,0.009,0.685,0.232,0.026,0.0295089614632629,1.44882536091605,0.297306435152981,8.566,2.555,15.0931915885041,15.1580295138889,"Olive Rockfish","fish","count"
"105",38,0.8,"quart",-14.4442549472296,0.289,0,0.433,0.242,0.036,0.0278153860164918,1.44411299782899,0.291831894600497,8.555,2.575,15.0518402551714,15.1192832014072,"Olive Rockfish","fish","count"
"106",39,-4,"quart",1.1402385868,0,0.828,0.171,0,0.001,0.149860726994874,0.904520114685464,0.149991790254983,16.515,5.241,14.9938324346405,15.0126,"California Sheephead","fish","count"
"107",39,0,"quart",-0.349900947,0.057,0.034,0.9,0,0.009,0.148452810177242,0.909315478115881,0.155731059551223,16.415,5.312,15.0361736928105,15.06835,"California Sheephead","fish","count"
"108",39,0.8,"quart",-1.98604786,0.875,0,0.118,0,0.007,0.150153772157081,0.905741548742727,0.15356833496484,16.476,5.268,15.0398778594771,15.0788666666667,"California Sheephead","fish","count"
